Review Text,sentimen,Rating
nya sih okeeh kesini nya logout sendiripass login gak masuk lupa password nya nggak logout masuk error,negative,1
tgl rujuk dokter mundur gak tulis tanggal kunjung sesuai tgl rujuk mending matiin aja sistem daftar online bikin ribet,negative,1
buka aplikasi suruh daftar masuk akun udah bener nulis nik gagal loh angka x gagal suruh nunggu gagal knp bolak masuk akun sih heran pdhl gk ganti akun orang,negative,3
bagus susah masuk jelek nik udah bener bilang nik slh ga,negative,1
fasilitas,neutral,5
aplikasi mencret,negative,1
bantu keluargaaplikasi mudah gunakandan praktis,positive,5
aplikasi bagus bantu masyarakat tengah bawah temanteman alami kendala otp masuk isi pulsa nomor tuju otp minimal rb verifikasi wajah gagal langsung kantor cabang bpjs rsud verifikasi wajah layan daftar rsud alhamdulillah aplikasi bagus inti paham perintah aplikasi insyaallah lancar,positive,5
parah app mobil jkn verifikasi otp sms nomer udh aja susah ampun negara yg bikin susah rakyat mobil jkn kl masyarakat ngeluh tp responnya maaf kl mending ga donwload app,negative,1
sip daftar obat nya mudah,positive,5
tolong baik sistem aplikasi mjkn nya depelover aplikasi sehat wajib daftar bpjs sistem terkadang error hambat faskes masyarakat,negative,2
kali logout pas masuk maka biometrik terang aplikasi didaftarin biometrik hp pakai didaftarin,negative,3
layan administrasi tdk ribetoke jkn,positive,4
pas check in d rs banget gangguanjadi susah obat,negative,2
antre daftar online jkn mobile makasih,positive,5
bagus muas,positive,5
bingung bpjs inibaru pagi mendaftartapi selesai daftar terverifikasidisitu tera bpjs daftar non aktuf daftar bpjs maksud gimana,negative,1
simpel selamat sehat,positive,5
aplikasi prematur jgn rilis boss bikin anggrannya dipake,negative,1
loading,neutral,5
apa cek kode verifikasi email masak suruh ulang,negative,1
bantu alangkah nya obat sulit tentu faskes gimana kalo darurat faskes kota supaay mudah,positive,5
kelas negara nkri aplikasi macet inimalu,negative,1
aplikasi sih ganggu mulu,negative,1
apk senin eror,negative,1
lancar mudah,positive,5
mudah bantu daftar obat,positive,5
nice app,positive,5
aplikasi sulit masyarakat log out login gimana inisedikit update update kasi yg sakit,negative,1
aplikasi log out pasu password nik password salah coba lupa sandi coba terusmenerus ribet,negative,1
aplikasi sulit orang obat log out pas login gak bs masuk salah pw pdhl pw yg masuk udh bener ujung nya orang jd repot masak obat aja jd sulit gin,negative,1
terimakasih mudah masyarakat rubah pindah faskes inginkansemoga depan aplikasi lancar,positive,4
login aja susah hari malam,neutral,1
aplikasi bantu terima kasih,positive,5
good bintang,positive,5
muas,positive,5
pergi periksa faskes daftar hrus skrining udah kali verifikasi susah masukkarena error aplikasi mesti daftar umumjadi bayar donk programaplikasi yg bagong ribet,negative,1
kode otpnya woi aplikasi rusak,negative,1
daftar ko gak masuk kali coba,negative,1
bagus banget obat gara gara ni aplikasi mudah dpt antri,positive,5
moga lekas sembuh,neutral,5
gk login,negative,1
apk sampah nyoba berulangulang kode verifikasi gak munculmuncul saran aja apk mentah gausah du publish malu,negative,1
mhn baik aplikasi nya daftarin anak sy kontrol tgl nov check in manual rumah sakit nya nomor antri gantung gbs ambil nomor antri aplikasi nya nomor antri tgl nov hilang batal gagal tolong bantu baik aplikasi akurat,negative,1
bagus batu manfaat,positive,5
aplikasi perintah tuh bener ga ngebantu banget masyarakat bikin mudah ribet trs kalo ubah email yaudah diemin aja,negative,1
