text,sentiment
daftar paskes muncul transaksi proses coba tulis muncul,neutral
otp kirim,neutral
aplikasi broken logout cepat baik aplikasi layan publik gin,positive
lancar jaga moga tim kembang kemenkes amanah,neutral
otp masuk gagal verifikasi speak hp bagus baru kartu aktif,neutral
aplikasi rusak daftar sulit,negative
mudah muas,positive
aplikasi koplok klo sistem serba online nga sok aplikasi daftar online gagal hubung server istri sakit klinik gigi rumkit wajib daftar online orang sistem kerja nga,negative
kode verifikasi udah ngajukan ngirim ulang x ga masuk sms nya,neutral
good,neutral
logout eror ga masuk uang nya doang layan eek,neutral
bantu layan sehat,neutral
ambil antre gak aja daftar tempat dahulu,neutral
bayar tagih yaa,neutral
mempermudahterima kasih,neutral
aplikasi ini daftar sulit capcha noh baik biar nongol emosi dibuatnyaaa orang obat kendala woi baik tu aplikasi bilang jaring yaa awas aja lu udh nyoba make wifi daata aja hasilnyaa buru perbaaiki sekaranggg,positive
mantap,positive
buka aplikasi nya tagih yaa kira tagih ya nggak daftar kali daftar tagih gimana sih,neutral
good job,neutral
aplikasi k o n t o l,neutral
ambil antri rs masalah tolong team it tanggap keluh guna,negative
aplikasi buka eror trs ya hedeh pdhl dftr antri kontrol,neutral
nggak verifikasi wajah udah ikut arah,neutral
jkn jaya,neutral
aplikasi taii kirim otp tapi gak nyampe pake pulsa udah isi ajaa,neutral
mantap sungguh praktis,positive
aplikasi g jls gilir dipake hrs loging ulang lg mn ribet bgt g bs payah,negative
apk ga update udah pake data tetep aja apk tulis nya offline,neutral
update log in lagibukanya bantu sulit guna,negative
mudah antre cepat pakai mobile jkn,positive
maju moga tingkat layan jkn layan puskesmas,neutral
buka apl jkn suruh login udah tulis tombol masuk gag tekan knp jkn,neutral
bantu terima kasih,neutral
akses lancar,neutral
gk baik aplikasi eror daftar gimana bijak nya aplikasi masyarakat lho,positive
aplikasi apas inikode otp ga muncul,neutral
login pake nik yg daftar nama orang gimna sih emang double data klo ubah data gitu sya ngurus nya kmna,neutral
aplikasi susah daftar akun susah verifikasi wajah verifikasi nomor hp beberpa kali coba,negative
masuk susah karna capsah nya loading,negative
ok bnget,neutral
akun daftar pas pencet lupa sandi bsa benerin sandi akun gmana sih jelek aplikasi gilir daftar ulang ngomongnya akun udh pas coba tetep ga bsa,negative
cepat mudah,positive
aplikasi perintah fantastis ngedevelopnya kualitas gembel aplikasi,neutral
aplikasi ga daftar trs masukin no hp gabisa kode otp nya gapernah kirim kaya gimana sih,neutral
capek bgt suka logout udah mah gaochanya lot muncul lupa password nomor telepon email orang sakit bikin pening mulu,positive
th april sd mei aplikasi buruk user friendly rumah sakit kontrol tgl aplikasi gagal utk daftar kadang kadang gak utk daftar log in suruh ganti password parah,negative
bagus nerima verifikasi email,positive
kode verifikasi sms ya,neutral
alhamdulillah moga kembang efektif,neutral
ribet ya udah bolak blik bukak ja kendala gk bsa dbuka,neutral
payah daftar online gagal alas penuhudah coba jauh ngga dapet jadwal alas nomor antri penuh,negative
kalo bintang kasih bintang gajelas login ujung billing eror,neutral
praktis efisien,neutral
mobile jkn buka,neutral
logut kalo login susah banget aja salah saat cek in rs ga bisapayah bayar an ribu koq kayak gin,negative
aplikasi sulit login perangkat batas niat mmebuatkan orang bpjs mandiri login akun asu,negative
ioformasi cepat akurat,positive
verikasi wajah sulit simpel buat akun,negative
proses ubah data mudah,positive
niat baik aplikasi orang pake aplikasi tuju mudah ruwet kaya gin log in susah ganti password aja g woooyyy,positive
aplikasi gak aja daftar no hp aplikasi ni no hp udah pakai malahanaplikasi kocak,neutral
bantu tp yg ga praktis,neutral
sih gbsa masuk bilng nya nik beda gilir ku masuk yg nik ttp aj gbsa gerang mau,neutral
puas aplikasi mjkn ambil antri online obat ubah data nomor hp ubah faskes,positive
aplikasi error,negative
suruh daftar aplikasi mobile jkn tpi gk ters daftar kota gk kota tanggerang kabupaten tanggerang aplikasi jelek buka mudah sulit,negative
aneh ni aplikasi munculin recaptcha aja load bas sistem gaefektiftolong baik,neutral
aplikasi verifikasi wajah aja gagal gak,negative
koneksi aman youtube aman game aman buka applikasi suruh cek koneksi parah,negative
aplikasi busuk,neutral
aplikasi perintah kendala anggar kualiatas nol,neutral
aplikasi nyusahin verifikasi muka mampus cuih gak becus bikin aplikasi,neutral
mudah pakai mobile jkn,positive
mudah utk operasi bantu utk ubah data yg perlu,positive
aplikasi bgus tpi hilang klo daftar,neutral
masuk susah tolong baik,neutral
daftar online sulit,negative
captcha nya lho ribet ni app nggak aksesibel banget disabilitas netra kaya sya,neutral
ya login nomor ktp password,neutral
rumit,neutral
aplikasi nya loading baik daftar ulang,positive
rujuk faskes tingkat sy januari aplikasi hilang no rujuk nya aneh no rujuk hilang bikin repot,negative
aplikasi gak gak masuk offline sulit orang menggunakankoneksi stabil login,negative
perubhan data scara onlin susah om aplod foto dokumen klik yg muteeeerrrr sinyl stabil kuota gdejam kerja panjul,negative
layan masyarakat sejahtera,neutral
nya mudah bikin ribet update baru data temu no duduk harap hubung dukcapil pakai aplikasi pas anak enak badanboskita bayar potong gaji lho orangscreen shot aplikasi boleh adu tembok aplikasi kok,positive
kirim nilai kesan n pesan stelah obat gagal terussss,negative
dongok susah aja yg magang bener,negative
kacau eror bug gak,neutral
coba apk nih ga login ulang trus masuk no orang apk gaje,neutral
bantu sakit,neutral
guna nya mudah,positive
sistem cepat responsif,positive
aplikasi bobrok riweh pol dipake,neutral
verifikasi nomor hp aja gk aplkasi gk,neutral
aplikasi gimmick error melulu developer kompeten buangbuang anggar negara,negative
bagus sistem nya bantu terima kasih,positive
aplikasi bantu,neutral
mobile jkn mudah bantu apa,positive
mantap cepat,positive
aplikasi bermanfaatterima kasih bpjs sehat,neutral
sulit,negative
alhamdulilah bantu,neutral
logout mending klo login nya gampang mah gampang ujung daftar online ngedumel,neutral
tigkatkan inovasi nya,neutral
daftar online ambil antre error mulu,negative
guna,neutral
bantu mudah masyarakat yg obat,positive
rubah nama,neutral
aplikasi error,negative
nggak bsa konek google fit,neutral
ok trimaksih,neutral
kesini kesana nih app ribet ya login aja,neutral
buka aplikasi marahlogin dg otp no tlp ga login dg email ga,neutral
suruh verifikasi no hp kode otp ga masuk gimana sih aplikasi,neutral
bagus mudah moga manfaat,positive
kode otp nya susah,negative
mudah pendaptaran antri,positive
login gunain captcha nyusahin pakai authenticator,neutral
jelek bgt apknya udah coba login ikutin saran dr cs tetep gabisa tagih aja tetep tagih pdhl apknya aja gbisa dipake fasilitas ga pake,negative
kasih dr td aktifin ulang jkn mobile ketemu menu,neutral
sdh byr iur bbulanan tp wa dri jkn ktnya blm bayar iruan sdngkan diapliksi tagih krna sdh byarkan asli wa dri jkn ya,neutral
gimana nunggu kode verifikasi nya ga muncul muncul udah ulang kali tetep aja ga bis,neutral
jam gk daftar pol gigi trs daftar jm pas daftar pagi ternyta kursiny sdah full bgke,neutral
aplikasi bantu terima kasih,neutral
aplikasi perintah yg bantu,neutral
biasa apknya tiba log out pas mo log in g bsa kuota inet bnyk,neutral
tdk kecewa,negative
aplikasi log in anak sakit obat daftar antri aplikasi masuk captcha nya putar trus,neutral
daftar pas masuk salah sesuai ktp dansandi dah saran gagal,negative
ya pas masuk aplikasi gak sandinik salah cek duh bantu bikin pusing deh,neutral
jamin sehat rakyat,neutral
mobile jkn mudah trmksh,positive
apa apk buruk biometrik ngga selesai,negative
mudah menu mudah erti proses ubah faskes cepat,positive
cepat sigap,positive
mudah cepat urus bolak k kantor ponsel,positive
eror tolong sistemny benarbenar baik aplikasi jkn banget alami eror kala daftar ambil nomor rumah sakit,positive
captcha sulit kirim otp sampe tidur knp sampe detik knp g genap detik ajaniat g aplikasi,negative
ganti hppas masukn lg hp barumala tekeluar pdhl sya gk ngapa itukq tekeluar cndrsmpai ckrg bingung sendirimau daftar ulang lg terpaksakenapa gt iy,neutral
mudah erti,positive
min background nomor ktp jam online nya hilang bikin pusing,neutral
bantu aplikasi,neutral
lot keluh masyarakat baru baik aplikasi,positive
apk bingung,neutral
update g login pdhal no induk pasword,neutral
susah verifikasi wajah terang,negative
tahan tingkat aplikasi bagus,positive
proses aplikasi cepat mudah alhamdulillah langsung,positive
daftar online sulit sih bikin emosi aja serta bpjs harus daftar online program kelas teri gin dongsampai serta bpjs obat sulit,negative
baus,neutral
bagussangat bantu,neutral
terimakasih bpjs sehat jakbar,neutral
baik,positive
susah update,negative
guna sehat,neutral
aplikasi taii,neutral
captcha gamau loading sampe,neutral
parah sistem apk mobile jkn kali otp aja sdh kali tdk jga hasil alas sinyal sistem kerja aja yg bagus alias payahbukan pelihara trus kerja sistem masyarakat mudah,positive
jengkel gagal pindah faskes gara klik pindah keluarga x pikir pindah bpjs nya gak ubah pindah satu,negative
bantu mudah,positive
